r , S_1 , V_1
0.0 , 1.02149303631 , 0.93832284019
0.25125628140703515 , 1.0114730783390986 , 0.9274087591392675
0.5025125628140703 , 0.9821753757105133 , 0.8954261684560293
0.7537688442211055 , 0.9357661458668161 , 0.8445354496277688
1.0050251256281406 , 0.8754865208222948 , 0.7779733993142705
1.2562814070351758 , 0.8051974436562667 , 0.6996050881977733
1.507537688442211 , 0.7289019512010866 , 0.6134539038383229
1.758793969849246 , 0.6503351931663109 , 0.5232986805445456
2.0100502512562812 , 0.571054442116186 , 0.4329977741536799
2.2613065326633164 , 0.49782106293475137 , 0.34353798574144273
2.5125628140703515 , 0.4290505831403919 , 0.2580258926485889
2.7638190954773867 , 0.3662374522925541 , 0.17753377197210132
3.015075376884422 , 0.3100405336326209 , 0.10269485057610361
3.266331658291457 , 0.2605838481636311 , 0.033754985627681734
3.517587939698492 , 0.21764416439785333 , -0.029332877291973626
3.7688442211055273 , 0.18078261604875656 , -0.08681498723423661
4.0201005025125625 , 0.14944043711845287 , -0.13905860351745805
4.271356783919598 , 0.12300766781525191 , -0.18649265679140298
4.522613065326633 , 0.10087053372316847 , -0.2295658410537059
4.773869346733668 , 0.0824422176151149 , -0.2687190034958531
5.025125628140703 , 0.06718113869260031 , -0.30436840318136316
5.276381909547738 , 0.05460021766303954 , -0.3368967567479456
5.527638190954773 , 0.044269930401005464 , -0.36664957011009613
5.7788944723618085 , 0.035817306309916586 , -0.39393485948695117
6.030150753768844 , 0.02892246194609252 , -0.4190248968682212
6.281407035175879 , 0.02331379810639125 , -0.44215904170805265
6.532663316582914 , 0.018762629422437522 , -0.463547042366885
6.783919597989949 , 0.015077747616985758 , -0.4833724221618967
7.035175879396984 , 0.01210022654333696 , -0.5017957246500971
7.2864321608040195 , 0.009698642397167638 , -0.5189574989868397
7.537688442211055 , 0.007764791467144274 , -0.5349809740610194
7.78894472361809 , 0.006209928547191371 , -0.5499744114600497
8.040201005025125 , 0.004961512389313655 , -0.564033150949202
8.29145728643216 , 0.0039604233626992 , -0.5772413743228608
8.542713567839195 , 0.0031586077096826975 , -0.5896736185193774
8.793969849246231 , 0.0025170988135143828 , -0.601396069680493
9.045226130653266 , 0.0020043661699702905 , -0.6124676682646228
9.2964824120603 , 0.0015949455379093115 , -0.6229410525798873
9.547738693467336 , 0.0012683078611964394 , -0.6328633649112207
9.798994974874372 , 0.0010079292405628419 , -0.642276941195717
