r , 	 S , V
0.02 , 1.021459312472002 , 0.9382861270939712
0.03 , 1.0213853011984226 , 0.9382055551724479
0.04 , 1.021276464184213 , 0.938087069272906
0.05 , 1.0211345235947373 , 0.9379325429538302
0.060000000000000005 , 1.0209600857088004 , 0.937742634608916
0.07 , 1.0207534261478997 , 0.937517642301595
0.08 , 1.0205146977150195 , 0.9372577300285106
0.09 , 1.0202440006051077 , 0.9369630041546477
0.09999999999999999 , 1.0199414106149742 , 0.9366335441247631
0.10999999999999999 , 1.019606991986278 , 0.9362694164457706
0.11999999999999998 , 1.019240803827937 , 0.935870681679481
0.12999999999999998 , 1.0188429035706996 , 0.9354373982045133
0.13999999999999999 , 1.0184133489362153 , 0.9349696243611196
0.15 , 1.0179521991130351 , 0.9344674197327382
0.16 , 1.0174595154859631 , 0.9339308459414044
0.17 , 1.0169353621022272 , 0.9333599671567508
0.18000000000000002 , 1.016379805976424 , 0.9327548504295889
0.19000000000000003 , 1.015792917293275 , 0.9321155659143443
0.20000000000000004 , 1.0151747695436277 , 0.9314421870189158
0.21000000000000005 , 1.0145254396156378 , 0.9307347905058413
0.22000000000000006 , 1.0138450078550956 , 0.9299934565599713
0.23000000000000007 , 1.0131335581040124 , 0.9292182688325692
0.24000000000000007 , 1.0123911777235395 , 0.9284093144684523
0.25000000000000006 , 1.011617957605359 , 0.9275666841206772
0.26000000000000006 , 1.0108139921744121 , 0.9266904719558876
0.2700000000000001 , 1.0099793793849863 , 0.9257807756525248
0.2800000000000001 , 1.0091142207116055 , 0.9248376963934739
0.2900000000000001 , 1.0082186211357786 , 0.9238613388542891
0.3000000000000001 , 1.007292689129376 , 0.922851811187839
0.3100000000000001 , 1.0063365366352135 , 0.9218092250059996
0.3200000000000001 , 1.0053502790452795 , 0.9207336953588695
0.3300000000000001 , 1.0043340351769408 , 0.919625340711868
0.34000000000000014 , 1.0032879272473818 , 0.918484282920997
0.35000000000000014 , 1.0022120808464843 , 0.9173106472064874
0.36000000000000015 , 1.0011066249083045 , 0.9161045621249999
0.37000000000000016 , 0.9999716916812789 , 0.9148661595405245
0.38000000000000017 , 0.9988074166972639 , 0.913595574594087
0.3900000000000002 , 0.9976139387394953 , 0.9122929456723589
0.4000000000000002 , 0.9963913998095395 , 0.910958414375246
0.4100000000000002 , 0.9951399450932994 , 0.909592125482523
0.4200000000000002 , 0.9938597229261266 , 0.9081942269195671
0.4300000000000002 , 0.9925508847570859 , 0.9067648697222429
0.4400000000000002 , 0.9912135851124135 , 0.9053042080009782
0.45000000000000023 , 0.9898479815582042 , 0.9038123989040701
0.46000000000000024 , 0.9884542346623609 , 0.902289602580255
0.47000000000000025 , 0.9870325079558377 , 0.9007359821405755
0.48000000000000026 , 0.9855829678932031 , 0.89915170361957
0.49000000000000027 , 0.98410578381255 , 0.8975369359358157
0.5000000000000002 , 0.982601127894779 , 0.8958918508518481
0.5100000000000002 , 0.9810691751222769 , 0.8942166229334811
0.5200000000000002 , 0.979510103237013 , 0.8925114295085536
0.5300000000000002 , 0.977924092698079 , 0.8907764506251206
0.5400000000000003 , 0.9763113266386884 , 0.8890118690091156
0.5500000000000003 , 0.9746719908226611 , 0.8872178700215005
0.5600000000000003 , 0.9730062736004121 , 0.885394641614928
